date,open_time,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_20,ema_50,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid
2020-08-11,1597104000000,395.43,398.21,367.0,379.0,992412.6023,353.9865,283.12219999999996,220.2867,354.43493875945944,304.02957618501944,64.65745499209687,34.233984331212525,34.994177341752334,-0.7601930105398083,436.3037609541551,271.66923904584485,353.9865
2020-08-12,1597190400000,378.99,389.23,365.85,387.18,751848.7983,359.5805,286.003,221.42085,357.5535160204633,307.2903771189402,66.64569798794577,32.66482101557864,34.528306076517595,-1.863485060938956,434.6338726023991,284.52712739760085,359.5805
2020-08-13,1597276800000,387.18,431.49,376.59,424.54,1511330.7732,366.85,289.8022,222.70425,363.9331811613715,311.88840154564843,73.87460651052945,34.04345578520366,34.43133601825481,-0.38788023305114905,437.36071181029627,296.3392881897038,366.85
2020-08-14,1597363200000,424.54,444.71,417.05,438.11,1109670.94324,373.49249999999995,293.9144,224.04440000000002,370.9976400983838,316.83826815170147,75.916348541162,35.81813025388192,34.70869486538024,1.10943538850168,444.57133760300763,302.41366239699227,373.49249999999995
2020-08-15,1597449600000,438.12,442.94,427.02,432.32,681698.5971,379.5585,297.968,225.3278,376.83786485091866,321.3669635183014,73.28465990605982,36.338480561206666,35.03465200454553,1.3038285566611378,448.956541550139,310.160458449861,379.5585
2020-08-16,1597536000000,432.3,436.99,412.47,433.62,716666.25258,385.14300000000003,302.2216,226.6273,382.2456872460692,325.7690433803288,73.50672703617948,36.43575239103427,35.314872081843276,1.1208803091909942,453.05221854943477,317.2337814505653,385.14300000000003
2020-08-17,1597622400000,433.61,446.0,420.37,430.89,868870.64996,390.849,306.3408,227.8583,386.87847893691975,329.8914338360022,72.15039425162044,35.87896248687031,35.427690162848684,0.4512723240216232,453.81734439617236,327.8806556038276,390.849
2020-08-18,1597708800000,430.89,433.81,415.0,421.95,743254.57018,396.061,310.2212,229.06810000000002,390.2186238000703,333.50157368557075,67.74222571598892,34.3206916219342,35.20629045466579,-0.8855988327315885,450.6498669601691,341.47213303983085,396.061
2020-08-19,1597795200000,421.92,426.75,393.25,407.46,978339.69221,399.6905,313.8584,230.18739999999997,391.860659628635,336.4019041292739,61.21412728521365,31.552807706420936,34.47559390501682,-2.9227861985958867,446.6412301220662,352.7397698779338,399.6905
2020-08-20,1597881600000,407.46,418.98,402.07,415.94,663555.73445,403.171,317.5574,231.3249,394.1539301401936,339.52104514381216,63.4349098114443,29.701128767412854,33.52070087749603,-3.819572110083179,443.6587289557607,362.6832710442393,403.171
2020-08-21,1597968000000,415.94,418.68,385.1,387.97,860998.7256,403.21950000000004,320.7876,232.3163,393.5649844125561,341.4210041577803,52.713834024199265,25.68068368679502,31.95269743935583,-6.2720137525608095,443.6318820010049,362.8071179989952,403.21950000000004
2020-08-22,1598054400000,387.93,397.04,379.92,395.24,643235.76543,404.3605,324.195,233.34795000000003,393.7245097065984,343.531553014338,54.849809463278,22.818047983327517,30.12576754815017,-7.307719564822651,442.45204419284096,366.26895580715905,404.3605
2020-08-23,1598140800000,395.23,396.95,383.15,390.71,445317.81989,404.59900000000005,327.4258,234.28259999999997,393.4374135440652,345.3816881902463,53.23613060656534,19.953839976527263,28.09138203382559,-8.137542057298326,442.2837777755842,366.9142222244159,404.59900000000005
2020-08-24,1598227200000,390.72,410.42,387.44,407.68,717403.81877,405.50249999999994,331.02819999999997,235.25505,394.7938503493923,347.8247592416092,58.19761234767228,18.83614037032737,26.240333701125948,-7.404193330798577,442.5678708330993,368.4371291669006,405.50249999999994
2020-08-25,1598313600000,407.68,409.06,370.0,382.93,970445.38395,404.613,333.85479999999995,236.05305,393.6639598399264,349.2014353497814,49.884812119501454,15.771433950993242,24.14655375109941,-8.37511980010617,442.9275659507603,366.2984340492397,404.613
2020-08-26,1598400000000,382.91,392.91,377.37,385.81,738690.7794,404.165,336.7832,236.86684999999997,392.91596366469537,350.63706533606444,50.76608123227674,13.42032283668874,22.00130756821728,-8.580984731528538,443.13340746034095,365.1965925396591,404.165
2020-08-27,1598486400000,385.81,397.1,371.48,383.27,877763.73658,404.3615,339.5096,237.64075,391.9973004585339,351.9167882640619,49.93212143251722,11.22272497976428,19.845591050526682,-8.622866070762402,442.86405070764994,365.85894929235,404.3615
2020-08-28,1598572800000,383.31,398.0,379.75,395.11,732601.46905,404.26550000000003,342.5722,238.50185000000002,392.29374803391164,353.61063970468695,53.74645905013017,10.317567399783456,17.939986320378036,-7.62241892059458,442.85017855244047,365.6808214475596,404.26550000000003
2020-08-29,1598659200000,395.1,405.69,391.88,398.65,659802.63344,404.691,345.72,239.31165,392.89910536401527,355.37688912803253,54.85388965762665,9.773212402365061,16.30663153677544,-6.53341913441038,442.82830504368604,366.5536949563139,404.691
2020-08-30,1598745600000,398.65,429.89,398.3,428.94,894979.71788,406.366,349.515,240.12765,396.33157151982334,358.2617170053646,63.01390094921327,11.651644100656995,15.375634049551753,-3.723989948894758,445.65617862004683,367.07582137995314,406.366
2020-08-31,1598832000000,428.94,439.0,418.04,433.79,1040748.68881,409.1055,353.335,240.955,399.8990408988878,361.22361045613457,64.13181139537815,13.37746216512329,14.975999672666061,-1.5985375075427708,448.01994794668457,370.19105205331545,409.1055
